epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5750.06,0.51703,0.37572,0.95278,0.95836,0.83985,0.90147,0.8249,0.46536,0.47386,0.96581,0.007921,0.007921,0.007921
44,5883.41,0.51362,0.36477,0.9489,0.92434,0.8311,0.88985,0.81812,0.46343,0.50579,0.98112,0.0078715,0.0078715,0.0078715
45,6016.73,0.51344,0.36097,0.95211,0.96291,0.84102,0.89676,0.81845,0.48589,0.48254,1.01135,0.007822,0.007822,0.007822
46,6150.09,0.50849,0.35864,0.94913,0.95987,0.83636,0.89483,0.82137,0.45289,0.45019,0.97715,0.0077725,0.0077725,0.0077725
47,6283.59,0.50995,0.36098,0.94699,0.93218,0.84396,0.88288,0.81637,0.46847,0.50569,0.98821,0.007723,0.007723,0.007723
48,6417,0.50823,0.35174,0.95011,0.96589,0.84436,0.89512,0.81753,0.4738,0.46256,0.99068,0.0076735,0.0076735,0.0076735
49,6550.4,0.50078,0.34945,0.94651,0.94718,0.85416,0.89982,0.82687,0.46182,0.45234,0.98026,0.007624,0.007624,0.007624
50,6683.77,0.50313,0.35395,0.94459,0.95649,0.8475,0.8951,0.82196,0.46439,0.45673,0.97946,0.0075745,0.0075745,0.0075745
51,6817.26,0.5015,0.35474,0.94435,0.96058,0.83041,0.90097,0.83458,0.46887,0.48857,0.98093,0.007525,0.007525,0.007525
52,6951.03,0.49699,0.35136,0.94213,0.97539,0.82469,0.90296,0.83291,0.46454,0.44983,0.97576,0.0074755,0.0074755,0.0074755
53,7084.56,0.4903,0.34803,0.94011,0.95732,0.83044,0.90351,0.83432,0.46893,0.4878,0.99393,0.007426,0.007426,0.007426
54,7218.01,0.48372,0.34315,0.93717,0.95173,0.85323,0.90201,0.82869,0.47269,0.48303,1.00741,0.0073765,0.0073765,0.0073765
55,7353.17,0.48921,0.33833,0.93888,0.965,0.83665,0.89629,0.82751,0.44733,0.46555,0.98047,0.007327,0.007327,0.007327
56,7490.11,0.48219,0.33764,0.93914,0.95809,0.85532,0.87627,0.80495,0.45718,0.48133,0.97082,0.0072775,0.0072775,0.0072775
57,7624.09,0.48356,0.33268,0.93547,0.9658,0.83726,0.89425,0.82772,0.45534,0.45129,0.98272,0.007228,0.007228,0.007228
58,7757.63,0.48026,0.33473,0.93784,0.96818,0.82841,0.8963,0.8255,0.44611,0.43826,0.96398,0.0071785,0.0071785,0.0071785
59,7891.5,0.47354,0.32396,0.93076,0.94662,0.83909,0.90344,0.83109,0.47225,0.43031,0.98236,0.007129,0.007129,0.007129
60,8025.15,0.48247,0.33498,0.94344,0.95179,0.86237,0.91178,0.83957,0.44701,0.40425,0.97372,0.0070795,0.0070795,0.0070795
61,8158.8,0.46986,0.31995,0.928,0.97093,0.84462,0.9071,0.82768,0.45491,0.41504,0.98362,0.00703,0.00703,0.00703
62,8292.38,0.48076,0.33017,0.93703,0.95188,0.84565,0.90305,0.83855,0.42543,0.42778,0.96031,0.0069805,0.0069805,0.0069805
63,8425.99,0.47394,0.32798,0.93532,0.94725,0.84005,0.91133,0.83757,0.42931,0.41807,0.95838,0.006931,0.006931,0.006931
64,8559.6,0.47182,0.32686,0.93188,0.96976,0.84581,0.91112,0.84288,0.43199,0.3888,0.97441,0.0068815,0.0068815,0.0068815
65,8693.27,0.47139,0.32194,0.93231,0.94964,0.85718,0.90906,0.83375,0.44684,0.40898,0.98822,0.006832,0.006832,0.006832
66,8827.04,0.46225,0.31979,0.92564,0.94908,0.85375,0.91136,0.83972,0.44578,0.43009,0.97859,0.0067825,0.0067825,0.0067825
67,8960.69,0.46004,0.31659,0.92575,0.96807,0.85199,0.89949,0.82397,0.44407,0.43812,0.97254,0.006733,0.006733,0.006733
68,9094.36,0.45125,0.31053,0.92094,0.94018,0.86049,0.9013,0.82256,0.46871,0.46294,1.00384,0.0066835,0.0066835,0.0066835
69,9227.95,0.4538,0.31413,0.92324,0.95597,0.86313,0.9069,0.82725,0.45758,0.40148,1.00279,0.006634,0.006634,0.006634
70,9361.45,0.45416,0.31205,0.9241,0.96093,0.85583,0.90457,0.82719,0.44797,0.42743,0.97886,0.0065845,0.0065845,0.0065845
71,9495.09,0.45533,0.31192,0.92681,0.96139,0.84337,0.8982,0.8316,0.43793,0.43204,0.98174,0.006535,0.006535,0.006535
72,9628.93,0.45623,0.30675,0.93095,0.97288,0.84714,0.90959,0.83857,0.44686,0.41298,0.9816,0.0064855,0.0064855,0.0064855
73,9763.72,0.4439,0.30905,0.92342,0.96765,0.83414,0.8884,0.82004,0.43901,0.41387,0.97357,0.006436,0.006436,0.006436
74,9904.85,0.4375,0.30649,0.92167,0.96815,0.84054,0.90326,0.83956,0.42931,0.41204,0.97471,0.0063865,0.0063865,0.0063865
75,10083,0.44884,0.30516,0.91834,0.9658,0.84296,0.89841,0.8337,0.44155,0.44235,0.9798,0.006337,0.006337,0.006337
76,10244.5,0.44857,0.30201,0.92036,0.97197,0.82851,0.89844,0.83548,0.43724,0.41851,0.97818,0.0062875,0.0062875,0.0062875
77,10395.5,0.43706,0.29568,0.91723,0.95758,0.84938,0.9052,0.84086,0.4411,0.40102,0.97409,0.006238,0.006238,0.006238
78,10529,0.43611,0.29802,0.91652,0.94902,0.85374,0.90953,0.84245,0.439,0.41105,0.98449,0.0061885,0.0061885,0.0061885
79,10662.5,0.43651,0.29867,0.91828,0.96148,0.87002,0.91524,0.85427,0.42683,0.39207,0.97091,0.006139,0.006139,0.006139
80,10796,0.43106,0.2926,0.91379,0.97271,0.85503,0.9125,0.8454,0.42175,0.38416,0.96325,0.0060895,0.0060895,0.0060895
81,10929.8,0.43773,0.29579,0.91144,0.95939,0.85651,0.91347,0.84743,0.41356,0.37869,0.95899,0.00604,0.00604,0.00604
82,11063.3,0.43614,0.29489,0.91123,0.96395,0.84772,0.917,0.8496,0.41507,0.39027,0.96122,0.0059905,0.0059905,0.0059905
83,11197.5,0.42937,0.29366,0.91048,0.94164,0.84789,0.90822,0.84663,0.42618,0.43646,0.97497,0.005941,0.005941,0.005941
84,11332.1,0.42677,0.29057,0.91162,0.94346,0.87816,0.92104,0.85319,0.4268,0.38541,0.98048,0.0058915,0.0058915,0.0058915
85,11467.2,0.43541,0.29674,0.91615,0.95186,0.84257,0.91275,0.85028,0.41823,0.40788,0.96533,0.005842,0.005842,0.005842
86,11601.9,0.4295,0.28716,0.91495,0.96035,0.8444,0.90546,0.84165,0.42666,0.41252,0.96358,0.0057925,0.0057925,0.0057925
87,11735.3,0.42676,0.28818,0.91413,0.96255,0.84983,0.90185,0.83368,0.44149,0.39911,0.9969,0.005743,0.005743,0.005743
88,11868.9,0.41967,0.28038,0.91246,0.95352,0.85305,0.905,0.84415,0.42442,0.41864,0.96628,0.0056935,0.0056935,0.0056935
89,12002.3,0.4201,0.28315,0.90805,0.95797,0.85151,0.90401,0.83894,0.42992,0.40348,0.96459,0.005644,0.005644,0.005644
90,12135.7,0.42078,0.28369,0.91257,0.96612,0.8514,0.91049,0.84043,0.43336,0.38628,0.97095,0.0055945,0.0055945,0.0055945
91,12269,0.41594,0.28179,0.90326,0.96123,0.85833,0.91062,0.84314,0.4255,0.40145,0.9626,0.005545,0.005545,0.005545
92,12402.6,0.41844,0.28358,0.90961,0.95154,0.85103,0.89671,0.83362,0.42037,0.41618,0.96554,0.0054955,0.0054955,0.0054955
93,12535.9,0.40949,0.27908,0.9077,0.97307,0.84937,0.90406,0.84232,0.41515,0.40443,0.96575,0.005446,0.005446,0.005446
94,12669.3,0.41523,0.28038,0.90779,0.95175,0.86961,0.91274,0.85052,0.41556,0.39642,0.96939,0.0053965,0.0053965,0.0053965
95,12802.7,0.41227,0.28052,0.90996,0.9418,0.86384,0.90634,0.84439,0.4219,0.42998,0.97649,0.005347,0.005347,0.005347
96,12936.1,0.41181,0.27729,0.90819,0.9569,0.86251,0.9097,0.85043,0.41764,0.40883,0.97586,0.0052975,0.0052975,0.0052975
97,13069.3,0.40705,0.27496,0.90437,0.95447,0.85418,0.90481,0.84405,0.4166,0.39857,0.97839,0.005248,0.005248,0.005248
98,13202.7,0.40611,0.26938,0.9079,0.94757,0.85695,0.90904,0.84632,0.42495,0.38794,0.98316,0.0051985,0.0051985,0.0051985
99,13336.2,0.40634,0.27013,0.90337,0.96485,0.86402,0.91022,0.84978,0.4257,0.38824,0.98008,0.005149,0.005149,0.005149
100,13469.6,0.40464,0.26871,0.90263,0.96491,0.86163,0.91236,0.84979,0.41956,0.41559,0.97219,0.0050995,0.0050995,0.0050995
101,13603,0.40098,0.27159,0.90441,0.97117,0.85703,0.90806,0.8424,0.42347,0.37365,0.96958,0.00505,0.00505,0.00505
102,13736.3,0.39897,0.27202,0.90184,0.96569,0.8613,0.91071,0.84938,0.41632,0.3788,0.9609,0.0050005,0.0050005,0.0050005
103,13869.7,0.39988,0.27172,0.90675,0.96836,0.85453,0.91382,0.84628,0.43733,0.40637,0.98265,0.004951,0.004951,0.004951
104,14003,0.38907,0.26667,0.90138,0.96757,0.85475,0.91036,0.84439,0.42844,0.40651,0.97801,0.0049015,0.0049015,0.0049015
105,14136.5,0.39853,0.26644,0.9042,0.96292,0.85263,0.90336,0.8456,0.41687,0.38722,0.96932,0.004852,0.004852,0.004852
106,14269.9,0.39257,0.26311,0.90382,0.96254,0.85457,0.90756,0.8514,0.41071,0.37695,0.97109,0.0048025,0.0048025,0.0048025
107,14403.3,0.39434,0.26446,0.89923,0.96975,0.85224,0.90998,0.84916,0.4301,0.39903,0.98638,0.004753,0.004753,0.004753
108,14536.6,0.39832,0.26373,0.90471,0.97485,0.85063,0.91381,0.85497,0.41621,0.38795,0.96124,0.0047035,0.0047035,0.0047035
109,14669.9,0.39124,0.25919,0.90148,0.97181,0.85323,0.911,0.85454,0.40396,0.39344,0.94597,0.004654,0.004654,0.004654
110,14803.4,0.389,0.25889,0.89834,0.97233,0.85126,0.91071,0.85682,0.40448,0.40122,0.94963,0.0046045,0.0046045,0.0046045
111,14936.7,0.38438,0.25542,0.89317,0.97837,0.85556,0.91443,0.85805,0.40043,0.3847,0.95257,0.004555,0.004555,0.004555
112,15070.4,0.39417,0.26093,0.90088,0.97852,0.8567,0.9178,0.86074,0.40012,0.37774,0.95322,0.0045055,0.0045055,0.0045055
113,15203.9,0.38378,0.25472,0.89338,0.96998,0.85994,0.91705,0.86445,0.3928,0.37135,0.95383,0.004456,0.004456,0.004456
114,15337.5,0.38844,0.25805,0.90323,0.96627,0.86031,0.91621,0.86125,0.39708,0.40061,0.95505,0.0044065,0.0044065,0.0044065
115,15470.8,0.38711,0.25679,0.90385,0.96683,0.85578,0.91547,0.85704,0.3979,0.39494,0.95538,0.004357,0.004357,0.004357
116,15604.1,0.37708,0.25323,0.89415,0.97154,0.85196,0.91115,0.85358,0.40309,0.40103,0.95744,0.0043075,0.0043075,0.0043075
117,15737.4,0.38086,0.25438,0.89582,0.97096,0.8537,0.91502,0.8526,0.39961,0.39582,0.96048,0.004258,0.004258,0.004258
118,15871,0.37502,0.25073,0.89347,0.97853,0.84536,0.91422,0.85179,0.40827,0.39947,0.97113,0.0042085,0.0042085,0.0042085
119,16004.5,0.37588,0.25199,0.89149,0.98248,0.84357,0.91592,0.85931,0.40234,0.38119,0.96739,0.004159,0.004159,0.004159
120,16137.8,0.37003,0.2514,0.88989,0.97334,0.85001,0.91304,0.85779,0.40209,0.38334,0.96871,0.0041095,0.0041095,0.0041095
121,16271.2,0.37514,0.25069,0.88894,0.97099,0.85093,0.91496,0.86123,0.39977,0.3895,0.95893,0.00406,0.00406,0.00406
122,16404.7,0.37129,0.24673,0.89147,0.96283,0.8515,0.91177,0.85726,0.3957,0.37632,0.95613,0.0040105,0.0040105,0.0040105
123,16538,0.3677,0.2431,0.89438,0.96632,0.85018,0.91359,0.86212,0.39395,0.38465,0.95387,0.003961,0.003961,0.003961
124,16671.2,0.37047,0.2498,0.89678,0.96507,0.84485,0.91369,0.86314,0.39396,0.39087,0.95455,0.0039115,0.0039115,0.0039115
125,16805.4,0.37376,0.24424,0.89424,0.96537,0.8448,0.91476,0.86507,0.38937,0.39272,0.9506,0.003862,0.003862,0.003862
126,16938.6,0.36806,0.24527,0.89181,0.96234,0.84752,0.91498,0.86552,0.39412,0.39784,0.95684,0.0038125,0.0038125,0.0038125
127,17071.7,0.36739,0.24326,0.88693,0.95951,0.8455,0.91113,0.85941,0.40026,0.41303,0.9598,0.003763,0.003763,0.003763
128,17205.4,0.35976,0.23733,0.88687,0.96966,0.8401,0.91152,0.85859,0.40307,0.40605,0.96552,0.0037135,0.0037135,0.0037135
129,17339.3,0.35978,0.2404,0.89028,0.9643,0.84051,0.91417,0.86208,0.39966,0.39195,0.96721,0.003664,0.003664,0.003664
130,17472.9,0.35978,0.24108,0.89372,0.9725,0.83941,0.91569,0.86225,0.39802,0.39424,0.96329,0.0036145,0.0036145,0.0036145
131,17606.5,0.36513,0.23617,0.89113,0.95294,0.85089,0.9119,0.85866,0.39562,0.3873,0.96222,0.003565,0.003565,0.003565
132,17740.2,0.357,0.2346,0.88487,0.96593,0.84724,0.91149,0.85951,0.39747,0.39483,0.96408,0.0035155,0.0035155,0.0035155
133,17873.7,0.3504,0.23207,0.88541,0.97256,0.84898,0.91568,0.86345,0.39259,0.38626,0.96118,0.003466,0.003466,0.003466
134,18007.6,0.35531,0.23585,0.88665,0.96448,0.8547,0.91701,0.86523,0.39369,0.38293,0.96349,0.0034165,0.0034165,0.0034165
135,18141.5,0.35726,0.23738,0.89138,0.97492,0.84614,0.91711,0.86365,0.39827,0.38755,0.9683,0.003367,0.003367,0.003367
136,18275.4,0.34953,0.23412,0.88651,0.964,0.85471,0.91678,0.86371,0.39379,0.38259,0.96204,0.0033175,0.0033175,0.0033175
137,18409.2,0.35197,0.23274,0.88529,0.95729,0.86034,0.91839,0.86548,0.3958,0.39112,0.96313,0.003268,0.003268,0.003268
138,18542.9,0.35241,0.22873,0.88533,0.95877,0.85902,0.91525,0.8628,0.3986,0.38821,0.96434,0.0032185,0.0032185,0.0032185
139,18702.4,0.35071,0.22849,0.8806,0.97504,0.84689,0.91632,0.86364,0.3969,0.38391,0.96304,0.003169,0.003169,0.003169
140,18835.9,0.34672,0.22735,0.88355,0.96424,0.85478,0.91327,0.8607,0.39389,0.39464,0.95639,0.0031195,0.0031195,0.0031195
